Fecha,Ciudad
2016-01,San Rafael
2016-01,Calamuchita
2016-01,Villa Carlos Paz
2016-01,Villa General Belgrano
2016-02,San Rafael
2016-03,San Rafael
2016-04,San Rafael
2016-05,San Rafael
2016-05,Caba
2016-05,Montevideo
2016-05,Piriapolis
2016-06,San Rafael
2016-07,San Rafael
2016-08,San Rafael
2016-08,Caba
2016-09,San Rafael
2016-09,Mendoza
2016-10,San Rafael
2016-11,San Rafael
2016-11,Mendoza
2016-11,Caba
2016-12,San Rafael
2016-12,Malargue
2016-12,Buta Ranquil
2016-12,Las Lajas
2016-12,Zapala
2016-12,Cutral Co
2016-12,Villa Pehuenia
2017-01,Caba
2017-01,Tigre
2017-02,San Rafael
2017-02,Mendoza
2017-02,Caba
2017-02,Concepcion del Uruguay
2017-03,Caba
2017-03,Concepcion del Uruguay
2017-04,Caba
2017-05,Caba
2017-06,Caba
2017-06,Bariloche
2017-06,Colonia Suiza
2017-07,Caba
2017-08,Caba
2017-09,Caba
2017-09,San Rafael
2017-09,Mendoza
2017-10,Caba
2017-11,Caba
2017-12,Caba
2018-01,Caba
2018-01,San Rafael
2018-01,General Alvear
2018-02,Barcelona
2018-02,Madrid
2018-02,Toledo
2018-02,Bilbao
2018-02,San Sebastián
2018-02,París
2018-02,Beauvais
2018-02,Venecia
2018-02,Florencia
2018-02,Roma
2018-02,Nápoles
2018-02,Pompeya
2018-02,Caba
2018-02,Meta
2018-02,Sorrento
2018-02,Positano
2018-02,Amalfi
2018-02,Capri
2018-03,Liubliana
2018-03,Bled
2018-03,Zagreb
2018-03,Zadar
2018-03,Split
2018-03,Mostar
2018-03,Sarajevo
2018-03,Belgrado
2018-03,Novi Sad
2018-03,Budapest
2018-03,Bratislava
2018-03,Cracovia
2018-03,Oswiecim
2018-03,Varsovia
2018-03,Gdansk
2018-03,Sopot
2018-04,Múnich
2018-04,Chiemsee
2018-04,Füssen
2018-04,Stuttgart
2018-04,Tubinga
2018-04,Ginebra
2018-04,Montpellier
2018-04,Barcelona
2018-04,Praga
2018-04,Cesky Krumlov
2018-04,Dresde
2018-04,Leipzig
2018-04,Berlín
2018-04,Ámsterdam
2018-04,Bruselas
2018-04,Brujas
2018-05,Barcelona
2018-05,Caba
2018-05,San Rafael
2018-06,Caba
2018-07,Caba
2018-08,Caba
2018-09,Caba
2018-10,Caba
2018-11,Caba
2018-12,Caba
2018-12,Ushuaia
2019-01,Ushuaia
2019-01,Tolhuin
2019-01,Río Grande
2019-01,San Sebastián
2019-01,Río Gallegos
2019-01,Comodoro Rivadavia
2019-01,Trelew
2019-01,Puerto Madryn
2019-01,Esquel
2019-01,Lago Puelo
2019-01,El Bolsón
2019-01,Bariloche
2019-01,Villa La Angostura
2019-01,San Martín de los Andes
2019-01,Junín de los Andes
2019-02,Caba
2019-02,Cutral Co
2019-02,San Rafael
2019-03,Caba
2019-04,Caba
2019-05,Caba
2019-06,Caba
2019-07,Caba
2019-08,Caba
2019-09,Caba
2019-09,Tigre
2019-10,Caba
2019-10,Barcelona
2019-10,Múnich
2019-11,Múnich
2019-11,Wolfratshausen
2019-12,Múnich
2019-12,Salzburgo
2019-12,Oberammergau
2019-12,Fürstenfeldbruck
2019-12,Tubinga
2019-12,Ulm
2020-01,Múnich
2020-02,Múnich
2020-02,Dachau
2020-02,Erding
2020-02,Innsbruck
2020-03,Múnich
2020-04,Múnich
2020-05,Múnich
2020-06,Múnich
2020-07,Múnich
2020-08,Múnich
2020-09,Múnich
2020-09,Tegernsee
2020-09,Grainau
2020-10,Múnich
2020-10,Caba
2020-10,Mendoza
2020-10,San Rafael
2020-11,San Rafael
2020-12,San Rafael
2020-12,Mendoza
2021-01,San Rafael
2021-01,Mendoza
2021-01,General Alvear
2021-01,Mar de Ajó
2021-01,Santa Teresita
2021-01,Las Toninas
2021-01,La Plata
2021-02,San Rafael
2021-03,San Rafael
2021-04,San Rafael
2021-05,San Rafael
2021-06,San Rafael
2021-07,San Rafael
2021-08,San Rafael
2021-09,San Rafael
2021-10,San Rafael
2021-11,San Rafael
2021-12,San Rafael
2022-01,San Rafael
2022-01,Mendoza
2022-01,Mar de Ajó
2022-01,Nueva Atlantis
2022-01,San Bernardo
2022-01,Pinamar
2022-01,Mar de las Pampas
2022-02,San Rafael
2022-03,San Rafael
